"Description","Reaction","Enzymes","Disease Name"
"Anti-tumoral: reduction of maturation of oncogenic precursors","C:U","ADARB1","Glioblastoma"
"APOBEC1 RNA editing is correlated to a reduction of atherosclerosis thanks to the presence of ApoB48 isoform","C:U","APOBEC1","Diabetes/obesity"
"Association between  FTO SNPs and higher obesity risk, but further investigation is warranted to identify the causal genetic variants and potential mechanisms underlying the observed genetic associations","A:m6A","FTO","Obesity"
"Association between SNP rs9939609 within FTO and major depressive disorder, independently from BMI","A:m6A","FTO","Major depressive disorder"
"Associations between the FTO SNPs and type 2 diabetes,  further investigation is needed to identify the causal genetic variants and potential mechanisms underlying the observed genetic associations","A:m6A","FTO","Type 2 Diabetes"
"C-to-U editing of NF1 RNA creates a translational stop codon, potentially leading to premature truncation of neurofibromin","C:U","APOBEC1","Neurofibromatosis"
"CSF-1 expression is increased by the overexpression of ALKBH3. This results in cancer cell invasiveness without affecting cell proliferation and migration","A:m1A","ALKBH3","Ovarian and breast cancer"
"Decrease in 2'-O-Me due to knock-out of SNORD42A leads to a decrease in ribosomal proteins translation. 2'-O-Me impacts global protein translation by fine-tuning the synthesis of the translational machinery.","xX:Xm","","Acute Myeloid Leukemia"
"Decreased m6A level in bone marrow mesenchymal stem cells (MSCs) induces pathological features of osteoporosis in mice (impaired bone formation, incompetent osteogenic differentiation potential, and increased marrow adiposity). PTH (parathyroid hormone)/Pth1r (parathyroid hormone receptor-1) signaling axis is an important downstream pathway for m6A regulation in MSCs. METTL3 loss of function reduces the translation efficiency of MSCs lineage allocator Pth1r and disrupts the PTH-induced osteogenic and adipogenic responses in vivo.","A:m6A","METTL3","Osteoporosis"
"Decreased m6A levels are identified in ocular melanoma samples, indicating poor prognosis, and changes in global m6A modification are highly associated with tumor progression. Mechanistically, YTHDF1 promotes the translation of methylated mRNA of HINT2, a tumor suppressor in ocular melanoma.","A:m6A","YTHDF1","Melanoma"
"Decreased m6A methylation level, by METTL14 downregulation or FTO upregulation, promotes the activation of oncogenic signaling pathways, such as Wnt and PI3K‐Akt and supports GC cell proliferation, migration and invasion.","A:m6A","METTL14","Gastric cancer"
"Decreased m6A methylation level, by METTL14 downregulation or FTO upregulation, promotes the activation of oncogenic signaling pathways, such as Wnt and PI3K‐Akt and supports GC cell proliferation, migration and invasion.","A:m6A","FTO","Gastric cancer"
"Decreased methylation promotes GSCs growth and self-renewal. METTL14 induced methylation protects against GSCs growth and self-renewal","A:m6A","METTL14","Glioblastoma"
"Decreased methylation promotes GSCs growth and self-renewal. METTL3 induced methylation protects against GSCs growth and self-renewal","A:m6A","METTL3","Glioblastoma"
"Deficiency of RNA editing in Q/R site of the GluA2 induces the loss of Ca2+ homeostasis associated with early onset epilepsy and premature death","A:I","ADARB1","Glioblastoma"
"Deficiency of RNA editing in Q/R site of the GluA2 induces the loss of Ca2+ homeostasis associated with early onset epilepsy and premature death","A:I","ADARB1","Alzheimer"
"Demethylated tRNA is more sensitive to angiogenin that mediates the cleavage of tRNAs, so tRNA-derived small RNAs are involved in ALKBH3-induced cancer progression by preventing apoptosis of cancer cells.","A:m1A","ALKBH4","Cancer (not specified)"
"Demethylation of adenosine residues in the 3′‐UTR of PGC‐1α mRNA (induced by FTO), leads to increased PGC‐1α mRNA stability and protein expression, and increased mitochondrial biogenesis, oxidative stress and tumour suppression","A:m6A","FTO","Renal cell carcinoma"
"Direct physical and functional interaction between METTL3 and the eukaryotic translation initiation factor 3 subunit h (eIF3h). The METTL3–eIF3h interaction is required for enhanced translation (BRD4), formation of densely packed polyribosomes and oncogenic transformation.","A:m6A","METTL3","Non-small cell lung cancer"
"DKC1 encodes dykerin which can induce the pseudoridylation of rRNA. Defects in the pseudouridylation activity of dyskerin is related to the development of malignancy in patients with DC","U:Y","DKC1","Metachronous rectal adenocarcinomas with dyskeratosis congenita (DC)"
"Edited form of RhoQ protein plays an important role in promoting the invasive potential of CRC","A:I","ADARB1","Colorectal cancer"
"Expression level of METTL3 are up-regulated in human OS tissues and OS cell lines. METTL3 promotes osteosarcoma cell progression by regulating the m6A level of LEF1 and activating Wnt/b-catenin signaling pathway.","A:m6A","METTL3","Osteosarcoma"
"FTO is frequently overexpressed in human cervical cancer tissues and highly correlated with cervical cancer progression.Mechanistically, FTO directly interacted with E2F1 and Myc mRNAs and inhibition FTO dramatically impaired the translation of these two important oncogenes, thus suppressed cervical cancer cells’ proliferation and migration.","A:m6A","FTO","Cervical cancer"
"FTO overexpression in GC tissues was positively correlated with GC histological differentiation, lymph node metastasis and TNM stage. It may promote GC occurrence and its abnormal expression might be associated with GC tumor progression and metastasis. Moreover,in vitro, the viability, proliferation, migration and invasion of GC cells were markedly promoted by the overexpression of FTO","A:m6A","FTO","Gastric cancer"
"FTO promotes AML progression","A:m6A","FTO","Leukemia"
"FTO regulates the phosphorylation of Tau in a mTOR-dependent manner by targeting and reducing the mRNA level of TSC1.","A:m6A","FTO","Alzheimer"
"Genetic associations and regulation of expression indicate an independent role for 14q32 snoRNAs in human cardiovascular disease.","xX:Xm","FBL","Cardiovascular disease"
"HCC exhibited a characteristic gain of m6A modification in tandem with an increase of mRNA expression, owing to YTHDF2 reduction. YTHDF2 deficiency leads to mRNA stabilization of IL-11 and Serpin E2, the key mediators in support of hypoxia-induced cancer cell survival and vascular reconstruction. YTHDF2 is inhibited by HIF- 2α","A:m6A","YTHDF2","Hepatocellular carcinoma"
"hV1.1 recoded by editing (Ile400) is altered in the intracellular side of the selectivity filter","A:I","ADARB1","Behavioral and neurological consequences"
"Hyper-editing of FLNB is closely associated with HCC pathogenesis and ADAR overexpression increased risk of liver cirrhosis and postoperative recurrence and had poor prognoses","A:I","ADARB1","Esophageal squamous cell carcinoma"
"Hypermethylation of 4506 in 28S subunit of the ribosome leads to ribosome biogenesis deregulation","xX:Xm","FBL                      NOP58","β-thalassemia"
"Hypermethylation of 4506 in 28S subunit of the ribosome leads to ribosome biogenesis deregulation","xX:Xm","FBL                      NOP58","Hemoglobin E"
"Hypo-editing of COPA is closely associated with HCC pathogenesis and ADAR2 downregulation increased risk of liver cirrhosis and postoperative recurrence and had poor prognoses","A:I","ADARB1","Hepatocellular carcinoma"
"In patient cells, a functional NSUN2 protein is lacking. NSUN2-depletion causes growth retardation, mild microcephaly, and learning disabilities.","C:m5C","NSUN2","Dubowitz-like Syndrome"
"In RCC cell lines and tissues, WTAP is significantly overexpressed. Mechanistic studies exhibited that CDK2 expression is positively associated with the expression of WTAP. Moreover, WTAP stabilizes CDK2 transcript to enhance CDK2 expression via binding to 3′-UTR of CDK2 transcript.","A:m6A","WTAP","Renal cell carcinoma"
"In tumor samples, dysregulation and genetic alteartions of putative m1A-related enzymes are observed. Also, m1A-related enzymes regulate the ErbB and mTOR pathways.","A:m1A","ALKBH3","Gastrointestinal cancer"
"Increased C-to-U RNA editing mediated by APOBEC1 leads to neuronal gain-of-function through presynaptic activity of RNA-edited GlyRs, resulting in facilitation of neurotransmitter release","C:U","APOBEC1","Temporal Lobe Epilepsy"
"Increased IFN-γ pathway gene expression","A:I","ADARB1","Chronic Myeloid Leukemia"
"Increased KCNK15-AS1 lncRNA m6A methylation level is negatively correlated with KCNK15-AS1 expression and it sustains the proliferation, invasion and migration of pancreatic cancer cells. Decreased expression of ALKBH5 in pancreatic cancer cell determines an increased methylation of KCNK15-AS1 lncRNA, a decreased KCNK15-AS1 expression and an increased proliferation, migration and invasion of pancreatic cancer cells.","A:m6A","ALKBH5","Pancreatic cancer"
"Increased levels of NSUN2 methylated lncRNA is a key regulator of ESCC tumor metastasis and drug resistance.","C:m5C","NSUN2","Esophageal squamous cell carcinoma"
"Increased m6A methylation (by VIRMA) of ID2 mRNA reduced ID2 expression and promoted cell migration and invasion in HCC","A:m6A","VIRMA","Hepatocellular carcinoma"
"Increased m6A methylation (mediated by METTL3) induces GSCs mantainance and radioresistence, regulation of alternative splicing events and stability, differential regulation of miRNA and lincRNA, and expression of direct and indirect targets in key glioblastoma-related oncogenic pathways ( NOTCH, NFkB, Wnt, c-Myc, and TGF-b)","A:m6A","METTL3","Glioblastoma"
"Increased m6A methylation is protecting against cervical cancer cells proliferation and motility. Adenosine methyltransferases are considered as tumorsopressors and adenosine demethylases as oncogenes. Cervical cancer cells were found to have m6A levels significantly reduced.","A:m6A","","Cervical cancer"
"Increased m6A methylation level (due to METTL3 upregulation) promotes melanoma cell lines colony formation and invasion. MMP2 and N-cadherin play a crucial role in invasion and metastasis of melanoma cells and their expression was found to be associated to METTL3 upregulation. These results indicate that METTL3 may regulate MMP2 and N-cadherin. Whereas MMP2 expression depends on the catalytic activity of METTL3, regulation of N-cadherin appears to be independent of METTL3 catalytic activity.","A:m6A","METTL3","Melanoma"
"Increased m6A methylation level is associated to a decreased HCC cells proliferation. miR145 targets YTHDF2  3'UTR region and reduces its expression. The reduced expression of YTHDF2 is associated to an increased m6A level in the cells. In HCC cells there is a downregulation of miR145, an increased expression of YTHDF2 which recognize mRNA m6A sites and mediates mRNA degradation (decrease of m6A levels)","A:m6A","YTHDF2","Hepatocellular carcinoma"
"Increased m6A methylation level reduces MZF1 mRNA expression. FTO upregulation mediates MZF1 mRNA demethylation and increased MZF1 mRNA stability. This leads to an enhanced MZF1 expression, which explains the oncogenic roles of FTO in LUSCs","A:m6A","FTO","Non-small cell lung cancer"
"Increased m6A methylation level reduces USP7 mRNA expression and reduces both the proliferation rate of lung cancer cells and the capacity of colony formation. The increased USP7 mRNA stability through FTO mediated demethylation explaines FTO oncogenic role for the growth of NSCLC cells","A:m6A","FTO","Non-small cell lung cancer"
"Increased m6A methylation level was found to be correlated with the upregulation of METTL3 in GC patients. The increased methylation influences cell proliferation, migration and invasion by regulting transcription factors like GFI-1, apoptotic-related protein expression, AKT signaling pathway (p-AKT, p70S6K and Cyclin D1).","A:m6A","METTL3","Gastric cancer"
"Increased m6A methylation protects against GSCs self-renewal, proliferation and tumorigenesis. The increased ALKBH5 expression in GSCs is associated to a decreased methylation of FOXM1 pre-mRNA.","A:m6A","ALKBH5","Glioblastoma"
"Increased P2RX6 mRNA m6A methylation level (induced by METTL14) enhances P2RX6 pre-mRNA splicing, decreases ATP-P2RX6-Ca2+ −p-ERK1/2-MMP9 axis and protects against RCCs migration and invasion.","A:m6A","METTL14","Renal cell carcinoma"
"Inhibition of the production of properly modified  leading to impaired proliferation and differentiation of specific embryonic cells. Downregulated expression of treacle resulted in decrease 2'-O-Me of 18S pre-rRNA","xX:Xm","NOP56                      TCOF1","Treacher Collins syndrome"
"Intermittent hipoxia (HI) promotes the expression of ALKBH5 in lung adenocarcinoma. The m6A demethylase ALKBH5 affects the proliferation and invasion of lung adenocarcinoma cells under IH by downregulating m6A modification on FOXM1 mRNA and by promoting FOXM1 expression. FOXM1 has been reported to play an important role in cell proliferation, cell cycle, cell differentiation, angiogenesis and metastasis, and also with cisplatin-based chemotherapy resistance","A:m6A","ALKBH5","Non-small cell lung cancer"
"Involvement of the FTO SNP rs8050136 in modulating the risk for ADHD","A:m6A","FTO","Attention-deficit/hyperactivity disorder (ADHD)"
"It was found that the negative expression of METTL3 is associated with larger tumor size and higher metastasis rates in CRC. Decreased level of METTL3 increases P38/ERK pathway expression. The increased expression of p-P38 and p-ERK is associated with CRC cells proliferation, migration and invasion.","A:m6A","METTL3","Colorectal cancer"
"LAck of modifications in mitochondrial and cytoplasmic tRNAs from MLASA patients at sites normally modified by Pus1p.","U:Y","Pus1","Mitochondrial myopathy and sideroblastic anemia (MLASA)"
"LINC00958 is upregulated in HCC cell lines and tissues. LINC00958 sponges miR-3619-5p which has among its targets HDGF which is important for lipogenesis. LINC00958 is upregulated in HCC cell lines and tissues, thus it icreases the interactions with miR-3619-5p, thus increasing HDGF mRNA expression levels. HDGF has been established as an oncogene that facilitates the progression of HCC. Furthermore,  m6A methylation levels are enriched within LINC00958 in HCC cells and they correlate with and increased METTL3 expression level. These results suggest that the increase of LINC00958 in HCC may be attributed to the m6A modification.","A:m6A","METTL3","Hepatocellular carcinoma"
"Loss of 2'-O-Me results in decreased leukemia self-renewal potential and reduced colony formation potential.","xX:Xm","DDX21                      FBL                      TLE5","Leukemia"
"Loss of function mutation in FTO gene leads to leads to postnatal growth retardation and a significant reduction in adipose tissue and lean body mass","A:m6A","FTO","Intellectual disability"
"Loss of m5C causes the accumulation of tRNA fragments in the absence of NSUN2. Therefore, reduction in protein translation rates and activation in stress pathways leading to reduced cell size and increased apoptosis of cortical, hippocampal, and striatal neurons occurred.","C:m5C","NSUN2","Neuro-developmental disorder"
"m6A demethylation in the 3' UTR of BNIP3 mRNA leads to its degradation.","A:m6A","FTO","Breast cancer"
"m6A inhibits breast cancer (BC) cell viability, the ability of MDA-MB-231 cells to form colonies and suppressed cell migratory abilities resulting in an overall effect of inhibition of BC growth and metastasis. Reduced expression of m6A is associated with poor prognostic in patient. Functionally, reducing m6A expression by overexpressing METTL14 and/or knockdown of ALKBH5 could inhibit breast cell viability, colony formation and cell migration.","A:m6A","METTL14","Breast cancer"
"m6A inhibits breast cancer (BC) cell viability, the ability of MDA-MB-231 cells to form colonies and suppressed cell migratory abilities resulting in an overall effect of inhibition of BC growth and metastasis. Reduced expression of m6A is associated with poor prognostic in patient. Functionally, reducing m6A expression by overexpressing METTL14 and/or knockdown of ALKBH5 could inhibit breast cell viability, colony formation and cell migration.","A:m6A","ALKBH5","Breast cancer"
"m6A level in circRNAs is decreased in lungs of HPH and in particular, two downregulated m6A circRNAs were identified in HPH: circXpo6 and circTmtc3. Furthermore, m6A level influence the stability of circRNAs, thus affecting circRNA–miRNA–mRNA co-expression network in HPH, resulting in the activation of Wnt and FoxO signaling pathways.","A:m6A","","Hypoxia mediated Pulmonary hypertension"
"m6A level in circRNAs is decreased in lungs of HPH and in particular, two downregulated m6A circRNAs were identified in HPH: circXpo6 and circTmtc3. Furthermore, m6A level influence the stability of circRNAs, thus affecting circRNA–miRNA–mRNA co-expression network in HPH, resulting in the activation of Wnt and FoxO signaling pathways.","A:m6A","","Hypoxia mediated Pulmonary hypertension"
"m6A levels are decreased in immortalized and oncogenically transformed human mammary epithelial cells. The levels of METTL3 are descresed and ALKBH5 are increased. Overexpression of METTL3 and METTL14 and knockdown of ALKBH5 results in increased proliferation and migaration of immortalized cells. m6A levels may be downregulated in immortalized cells. Hypoxia increased m6A levels throgh mechanisms that are independent of METTL3, METTL14 and ALKBH5 expression levels. Increases of m6A levels in hypoxia are regulated by HIF.","A:m6A","ALKBH5                      METTL14                      METTL3","Breast cancer"
"m6A levels of POI patients is increased and FTO gene expression and protein levels are decreased. Thus, FTO could increase the risk of complications of POI","A:m6A","FTO","Premature ovarian insufficiency"
"m6A methylation (induced by METTL3) protects against RCCs proliferation, migration and invasion functions , and EMT and PI3K-Akt-mTOR pathways may be involved in the potential mechanisms.","A:m6A","METTL3","Renal cell carcinoma"
"m6A methylation is regulating apoptosis and chemo/radioresistance. Methylation of METTL3 target genes is inducing a decrease in apoptotic responses to GEM and it is also protecting from DNA damage after UVC.","A:m6A","METTL3","Pancreatic cancer"
"m6A methylation level decreases the expression of tumor suppressor genes like SOCS2. The upregulation of METTL3 in HCC mediates this event through an m6A-YTHDF2-dependent mechanism and increases cancer cells proliferation, migration and metastasis formation","A:m6A","METTL3","Hepatocellular carcinoma"
"m6A methylation level decreases the expression of tumor suppressor genes like SOCS2. The upregulation of METTL3 in HCC mediates this event through an m6A-YTHDF2-dependent mechanism and increases cancer cells proliferation, migration and metastasis formation","A:m6A","YTHDF2","Hepatocellular carcinoma"
"m6A methylation of pri-miR126 enhances its recogntion by DGCR8 and its subsequent processing to mature miRNA. miR126 plays an important role in tumor metastasis by acting as a tumor suppressor. The downregulation of METTL14 in HCC cells leads to the decreased processing of pri-miR126 thus reducing its tumor-suppressor activity","A:m6A","METTL14","Hepatocellular carcinoma"
"m6A methylation of β-catenin was found to be related to chemo/radiotherapy resistance of CSCC cells. Increased levels of FTO in those cells induce a decreased methylation level in β-catenin and an increased chemo/radiotherapy resistance through the ERCC1 axis.","A:m6A","FTO","Cervical cancer"
"m6A methylation protects against GSCs growth and self-renewal. FTO induced demethylation regulates GSCs growth and self-renewal, promotes tumor progression and shortens the lifespan of GSC-grafted animals.","A:m6A","FTO","Glioblastoma"
"m6A methyltransferase METTL3 is elevated and the m6A demethylase FTO is decreased in AD mice. The related pathways and genes predicted the potential roles of the differentially expressed m6A methylation RNA in AD.","A:m6A","FTO                      METTL3","Alzheimer"
"m6A modification and METTL14 are lowly expressed in bladder cancer. METTL14 and m6A modification participate in the RNA stability of Notch1 mRNA. Notch1 m6A modification inhibits its RNA stability. Notch1 plays an essential role in bladder tumorigenesis and bladder tumor initiating cells self-renewal","A:m6A","METTL14","Bladder cancer"
"m6A modification control the mRNA expression level of NANOG in some breast cancer cell lines. ALKBH5 plays critical role in mediating NANOG expression and BCSC specification and/or maintenance within the hypoxic microenvironment of human breast cancer orthotopic tumors. Mediates (together with Hypoxia-inducible factors (HIFs)) m6A demetylation of NANOG in hypoxic conditions.","A:m6A","ALKBH5","Breast cancer"
"m6A upregulates the levels of HBXIP; increases malignant cell growth and proliferation. METTL3 promoted the expression of HBXIP through m6A modification; high expression of METTL3 is related to increased levels of HBXIP in clinical breast cancer tissues and breast cancer cells; METTL3 increases the levels of expression of HBXIP by affecting m6A modification levels on HBXIP mRNA.METTL3 has increased expression in breast cancer cells and has an essential role in progression.","A:m6A","METTL3","Breast cancer"
"MDAMB468 breast cancer cells were examined to identify m5C epitranscriptome. Differentially methylated sites between breast cancer cells and normal control cell lines were found at CDS and 3`UTRs of mRNA. Genes related to apoptosis and programmed cell death are differentially methylated","C:m5C","","Breast cancer"
"Methylation levels on 5.8S, 18S, and 28S rRNAs are slightly increasing in p53 knock-downs.","xX:Xm","FBL","Breast cancer"
"METTL14 is downregulated in CRC tissues and cell lines. It reduces m6A levels in total RNAs and promotes CRC cell growth and metastasis,  METTL14 decreases miR-375 expression levels by modulating DGCR8 binding to primary miR-375 (primiR-375) in a m6A-dependent manner.","A:m6A","METTL14","Colorectal cancer"
"METTL3 and CDCP1 are upregulated in bladder cancer patient samples. The increased m6A modification and translation of oncogene CDCP1 in the transformed uroepithelial cells indicates the potential role of METTL3/m6A/CDCP1 axis in bladder cancer oncogenesis.","A:m6A","METTL3","Bladder cancer"
"METTL3 and METTL14 protein levels are decreased in whole islets from T2D patients. the Insulin/IGF1 -AKT-PDX1 pathway is significantly affected by hypomethylation in T2D","A:m6A","METTL14                      METTL3","Type 2 Diabetes"
"METTL3 is overexpressed in lung cancer tissues and cell lines. The m6A mRNA methylation initiated by METTL3 promotes YAP mRNA translation via recruiting YTHDF1/3 and eIF3b to the translation initiation complex and increases YAP mRNA stability through regulating the MALAT1-miR-1914-3p- YAP axis. The increased YAP expression and activity induce NSCLC drug resistance and metastasis.","A:m6A","METTL3","Non-small cell lung cancer"
"METTL3 is overexpressed in prostate cancer cell lines, together with increased m6A content. SHH-GLI signaling positively correlates with the severity of PC and  METTL3 regulates the expression level of GLI1","A:m6A","METTL3","Prostate cancer"
"METTL3 is upregulated in bladder cancer and m6A level is thus increased. AF4/FMR2 family member 4 (AFF4), two key regulators of NF-κB pathway (IKBKB and RELA) and MYC were further identified as direct targets of METTL3-mediated m6A modification","A:m6A","METTL3","Bladder cancer"
"METTL3 is upregulated in bladder cancer cells and tissues. METTL3 could enhance the recognition of pri-miR221/222,  which plays an oncogenic role in bladder cancer, by DGCR8 and the subsequent processing to mature miRNAs in an m6A manner.","A:m6A","METTL3","Bladder cancer"
"METTL3 is upregulated in colorectal cancer.  METTL3 can methylate pri-miR-1246, which further promotes the maturation of pri-miR-1246. The anti-oncogene SPRED2 was identified as the downstream target of miR-1246, wherein downregulated SPRED2 further reverses the inhibition of the MAPK pathway. The METTL3/miR-1246/SPRED2 axis plays an important role in tumor metastasis and provides a new m6A modification pattern in CRC development.","A:m6A","METTL3","Colorectal cancer"
"METTl3 is upregulated in H/R-induced cardiomyocytes injury. It methylates TFEB at two m6A residues in the 3ʹ-UTR, and promotes the association of the RNA-binding protein HNRNPD with TFEB pre-mRNA and subsequently decreases the expression levels of TFEB. This inhibits the autophagic flux and increases apoptosis in H/R-treated cardiomyocytes.","A:m6A","METTL3","Ischemic Heart disease"
"METTL3 promotes the translation of oncogenes such as EGFR and TAZ independently from its catalytic activity and m6A readers. The expression of these oncogenes mediates NSCLC cells growth, survival and invasion. METTL3 upregulation is reached by the downregulaion of miR-33a in NSCLC cells which normally reduces the expression of METTL3 by targeting its 3'UTR region.","A:m6A","METTL3","Non-small cell lung cancer"
"miR-143-3p is upregulated in the paired BM tissues as compared with that in primary cancer tissues. m6A methyltransferase Mettl3 can increase the splicing of precursor miR-143-3p to facilitate its biogenesis. It targets the three binding sites of 3’UTR of vasohibin-1 (VASH1) to inhibit its expression. Mechanistically, VASH1 can increase the ubiquitylation of VEGFA to trigger the proteasome mediated degradation, further, it can endow the tubulin depolymerization through detyrosination to increase the cell motility. Thus, miR-143-3p by inhibiting VASH1 t can increase the invasion capability and angiogenesis of lung cancer","A:m6A","METTL3","Non-small cell lung cancer"
"Missing m1A modification on mitochondrial tRNA at the 58 position is associated with the MERRF disease. m1A58 provides a positive charge on tRNA tertiary structure that affect the binding of elongation factor which delivers tRNA to ribosome.","A:m1A","Trmt61B","Myoclonus epilepsy, ragged-red fibers (MERRF)"
"Mutation in PUS1 gene affects an amino acid, that cause a defect in pseudouridylation. Deficient pseudouridylation of mitochondrial tRNAs has been associated to MLASA","U:Y","Pus1","Mitochondrial myopathy and sideroblastic anemia (MLASA)"
"Mutations found in m6A regulatory genes are associated with lower OS and EFS rates in patients with AML ( Acute myeloid Leukemia) and presence of p53 mutations.","A:m6A","ALKBH5                      FTO                      METTL14                      METTL3                      YTHDF1                      YTHDF2","Leukemia"
"NSUN2 affects the stability and nuclear-cytoplasmic shuttling of mRNAs, non-coding RNAs, and tRNAs.High NSUN2 expression is associated with poor survival rates.","C:m5C","NSUN2","Head and neck squamous cell carcinoma (HNSCC)"
"NSUN2 and YBX1 stabilize the oncogene mRNA of the oncogene HDGF that mediates UCB pathogenesis in human","C:m5C","NSUN2                      YBX1","Urothelial carcinoma of the bladder (UCB)"
"NSun2 overexpression is related to poor prognosis.","C:m5C","NSUN2","Gastric cancer"
"NSUN3-dependent modification of mt-tRNAMet is a necessary intermediate step towards the formation of 5-formylcytosine (f5C) in mtRNA","C:m5C","NSUN3","Combined mitochondrial respiratory chain complex deficiency"
"Nsun6 was found to be an important factor that enables supress the pancreatic cancer cell proliferation","C:m5C","NSUN6","Pancreatic cancer"
"Overexpression of APOBEC1 determines  aberrant editing that could contribute to the  oncogenesis","C:U","APOBEC1","Hepatocellular carcinoma"
"Pseudouridylation level on snRNA U2 depends on expression level of scaRNA1that is linked with TOF","U:Y","PUS7","Tetralogy of Fallot (TOF)"
"PUS7 mutations result in decreased levels of Ψ13 modifications in tRNAs","U:Y","PUS7","Intellectual disability and progressive microcephaly"
"Reduced levels of METTL3/METTL14 may lead to pathogenesis and progression of E/R-positive acute lymphoblastic leukemia and increase relapse rates.","A:m6A","METTL14                      METTL3","Leukemia"
